experiment,round,test_acc,train_loss
GlobSage,10,0.6537,1.0696
GlobSage,20,0.6587,1.0147
GlobSage,30,0.6853,0.9457
GlobSage,40,0.7386,0.8698
GlobSage,50,0.784,0.7899
GlobSage,60,0.801,0.7106
GlobSage,70,0.8098,0.6423
GlobSage,80,0.8159,0.583
GlobSage,90,0.8225,0.5381
GlobSage,100,0.8283,0.5079
GlobSage,110,0.8334,0.4827
GlobSage,120,0.8362,0.4656
GlobSage,130,0.839,0.445
GlobSage,140,0.8413,0.435
GlobSage,150,0.8443,0.4263
GlobSage,160,0.8471,0.4188
GlobSage,170,0.8484,0.4096
GlobSage,180,0.8527,0.4017
GlobSage,190,0.8547,0.3954
GlobSage,200,0.8585,0.3892
GlobSage,210,0.8593,0.386
GlobSage,220,0.8605,0.381
GlobSage,230,0.8618,0.3771
GlobSage,240,0.8636,0.3727
GlobSage,250,0.8646,0.3675
GlobSage,260,0.8661,0.3639
GlobSage,270,0.8656,0.3601
GlobSage,280,0.8666,0.3585
GlobSage,290,0.8669,0.3565
GlobSage,300,0.8669,0.3497
FedSage,10,0.7277,
FedSage,20,0.8055,
FedSage,30,0.8271,
FedSage,40,0.8316,
FedSage,50,0.8342,
FedSage,60,0.8372,
FedSage,70,0.8398,
FedSage,80,0.8428,
FedSage,90,0.8448,
FedSage,100,0.8481,
FedSage+,10,0.5885,
FedSage+,20,0.7016,
FedSage+,30,0.769,
FedSage+,40,0.7863,
FedSage+,50,0.7893,
FedSage+,60,0.7855,
FedSage+,70,0.7888,
FedSage+,80,0.7916,
FedSage+,90,0.7956,
FedSage+,100,0.8022,
