experiment,round,test_acc,train_loss
GlobSage,5,0.6817,1.5778
GlobSage,10,0.7282,1.2683
GlobSage,15,0.7568,0.9912
GlobSage,20,0.7688,0.7741
GlobSage,25,0.7748,0.6134
GlobSage,30,0.7793,0.4943
GlobSage,35,0.7853,0.4183
GlobSage,40,0.7868,0.3404
GlobSage,45,0.7883,0.2839
GlobSage,50,0.7868,0.2491
GlobSage,55,0.7883,0.2133
GlobSage,60,0.7838,0.1864
GlobSage,65,0.7838,0.1576
GlobSage,70,0.7823,0.1435
GlobSage,75,0.7808,0.1269
GlobSage,80,0.7823,0.1084
GlobSage,85,0.7793,0.0964
GlobSage,90,0.7808,0.0921
GlobSage,95,0.7808,0.0842
GlobSage,100,0.7808,0.0741
GlobSage,105,0.7793,0.0687
GlobSage,110,0.7808,0.0581
GlobSage,115,0.7808,0.0604
GlobSage,120,0.7808,0.0568
GlobSage,125,0.7808,0.0553
GlobSage,130,0.7778,0.0483
GlobSage,135,0.7823,0.0478
GlobSage,140,0.7808,0.0452
GlobSage,145,0.7778,0.0416
GlobSage,150,0.7778,0.0402
GlobSage,155,0.7778,0.0383
GlobSage,160,0.7778,0.0356
GlobSage,165,0.7778,0.0335
GlobSage,170,0.7763,0.0312
GlobSage,175,0.7748,0.0292
GlobSage,180,0.7733,0.027
GlobSage,185,0.7748,0.0301
GlobSage,190,0.7763,0.0303
GlobSage,195,0.7763,0.026
GlobSage,200,0.7793,0.0276
GlobSage,205,0.7733,0.0241
GlobSage,210,0.7733,0.0244
GlobSage,215,0.7793,0.023
GlobSage,220,0.7763,0.0227
GlobSage,225,0.7733,0.0231
GlobSage,230,0.7748,0.0212
GlobSage,235,0.7733,0.0213
GlobSage,240,0.7733,0.0205
GlobSage,245,0.7748,0.0191
GlobSage,250,0.7748,0.0189
GlobSage,255,0.7748,0.0183
GlobSage,260,0.7748,0.0168
GlobSage,265,0.7748,0.0168
GlobSage,270,0.7718,0.0189
GlobSage,275,0.7718,0.0181
GlobSage,280,0.7703,0.0163
GlobSage,285,0.7718,0.0166
GlobSage,290,0.7733,0.0166
GlobSage,295,0.7688,0.0166
GlobSage,300,0.7673,0.0147
FedSage,5,0.7372,
FedSage,10,0.7613,
FedSage,15,0.7793,
FedSage,20,0.7808,
FedSage,25,0.7763,
FedSage,30,0.7823,
FedSage,35,0.7793,
FedSage,40,0.7808,
FedSage,45,0.7733,
FedSage,50,0.7748,
FedSage,55,0.7718,
FedSage,60,0.7643,
FedSage,65,0.7673,
FedSage,70,0.7658,
FedSage,75,0.7673,
FedSage,80,0.7688,
FedSage,85,0.7613,
FedSage,90,0.7643,
FedSage,95,0.7613,
FedSage,100,0.7643,
FedSage+,5,0.7192,
FedSage+,10,0.7568,
FedSage+,15,0.7703,
FedSage+,20,0.7778,
FedSage+,25,0.7808,
FedSage+,30,0.7718,
FedSage+,35,0.7688,
FedSage+,40,0.7703,
FedSage+,45,0.7658,
FedSage+,50,0.7643,
FedSage+,55,0.7643,
FedSage+,60,0.7643,
FedSage+,65,0.7613,
FedSage+,70,0.7598,
FedSage+,75,0.7613,
FedSage+,80,0.7613,
FedSage+,85,0.7583,
FedSage+,90,0.7583,
FedSage+,95,0.7568,
FedSage+,100,0.7613,
